Index,MiseStress,U.Mag,U.U1,U.U2,U.U3,x,y,z
320,0.0,0.0,0.0,0.0,0.0,400.0,42.1875,162.93
321,0.0,0.0,0.0,0.0,0.0,400.0,28.125,108.62
322,0.0,0.0,0.0,0.0,0.0,400.0,14.0625,54.31
323,0.00434611712905,60.9930199002,-3.06528282313e-14,-60.9930199002,-3.06528282313e-14,424.700012,-14.0625,54.31
324,0.0,0.0,0.0,0.0,0.0,424.700012,-28.125,108.62
325,0.0,0.0,0.0,0.0,0.0,424.700012,-42.1875,162.93
326,0.0,0.0,0.0,0.0,0.0,424.700012,-56.25,217.24
327,0.0,0.0,0.0,0.0,0.0,424.700012,-70.3125,271.55
328,0.0,0.0,0.0,0.0,0.0,424.700012,-84.375,325.86
329,0.0,0.0,0.0,0.0,0.0,424.700012,-98.4375,380.17
330,0.0,0.0,0.0,0.0,0.0,424.700012,-112.5,434.48
331,0.0,28.78735683,1.08452406806,5.23197046881,1.08452406806,424.700012,-79.55,514.0
